,1V,,2V,,3V,,4V,,5V,,6V,gatevoltage,DC0.4,DC0.6,DC0.8,time,1V,2V,3V,4V,5V,6V,
1E-8,2.156484507E-12,1E-8,2.156484507E-12,1E-8,2.156484507E-12,1E-8,2.156484507E-12,1E-8,2.156484507E-12,1E-8,2.156484507E-12,2,196.31,161.5,143.94,0.012,3.917629301E-9,6.720962971E-8,1.043126437E-7,1.296581735E-7,1.424929649E-7,1.49952E-7,
3E-8,2.156484483E-12,3E-8,2.156484483E-12,3E-8,2.156484483E-12,3E-8,2.156484483E-12,3E-8,2.156484483E-12,3E-8,2.156484483E-12,3,151.14,131.36,126.02,0.017,2.533143351E-8,1.028819254E-7,1.365195035E-7,1.498984541E-7,1.576585011E-7,1.632541928E-7,
7E-8,2.156484469E-12,7E-8,2.156484469E-12,7E-8,2.156484469E-12,7E-8,2.156484469E-12,7E-8,2.156484469E-12,7E-8,2.156484469E-12,4,131.45,124.09,121.04,0.022,4.545717685E-8,1.180544954E-7,1.453316658E-7,1.568535774E-7,1.643402025E-7,1.697550088E-7,
1.5E-7,2.156484463E-12,1.5E-7,2.156484463E-12,1.5E-7,2.156484463E-12,1.5E-7,2.156484463E-12,1.5E-7,2.156484463E-12,1.5E-7,2.156484463E-12,5,124.98,120.93,118.51,0.027,5.554587391E-8,1.249533584E-7,1.497268912E-7,1.604907461E-7,1.686853344E-7,1.74045974E-7,
3.1E-7,2.156484482E-12,3.1E-7,2.156484482E-12,3.1E-7,2.156484482E-12,3.1E-7,2.156484482E-12,3.1E-7,2.156484482E-12,3.1E-7,2.156484482E-12,6,123.66,118.96,116.7,0.032,6.032490618E-8,1.285160117E-7,1.52565432E-7,1.644025824E-7,1.717691722E-7,1.77057986E-7,
6.3E-7,2.156484488E-12,6.3E-7,2.156484488E-12,6.3E-7,2.156484488E-12,6.3E-7,2.156484488E-12,6.3E-7,2.156484488E-12,6.3E-7,2.156484488E-12,,,,,0.037,6.270992063E-8,1.304393391E-7,1.547771688E-7,1.668339031E-7,1.743839535E-7,1.794693877E-7,
1.27E-6,2.156484486E-12,1.27E-6,2.156484486E-12,1.27E-6,2.156484486E-12,1.27E-6,2.156484486E-12,1.27E-6,2.156484486E-12,1.27E-6,2.156484486E-12,,,,,0.042,6.395153517E-8,1.315627986E-7,1.564559525E-7,1.688132462E-7,1.764162181E-7,1.814811576E-7,
2.55E-6,2.156484487E-12,2.55E-6,2.156484487E-12,2.55E-6,2.156484487E-12,2.55E-6,2.156484487E-12,2.55E-6,2.156484487E-12,2.55E-6,2.156484487E-12,,,,,0.047,6.461537698E-8,1.322533948E-7,1.577528078E-7,1.703807182E-7,1.781180886E-7,1.8323965E-7,
5.11E-6,2.156484487E-12,5.11E-6,2.156484487E-12,5.11E-6,2.156484487E-12,5.11E-6,2.156484487E-12,5.11E-6,2.156484487E-12,5.11E-6,2.156484487E-12,,,,,0.06,2.840851198E-11,7.133265442E-10,6.562516993E-8,1.464498882E-7,1.640822298E-7,1.725908332E-7,
1.023E-5,2.156484487E-12,1.023E-5,2.156484487E-12,1.023E-5,2.156484487E-12,1.023E-5,2.156484487E-12,1.023E-5,2.156484487E-12,1.023E-5,2.156484487E-12,,,,,,,,,,,,
2.047E-5,2.156484487E-12,2.047E-5,2.156484487E-12,2.047E-5,2.156484487E-12,2.047E-5,2.156484487E-12,2.047E-5,2.156484487E-12,2.047E-5,2.156484487E-12,,,,,,,,,,,,
4.095E-5,2.156484487E-12,4.095E-5,2.156484487E-12,4.095E-5,2.156484487E-12,4.095E-5,2.156484487E-12,4.095E-5,2.156484487E-12,4.095E-5,2.156484487E-12,,,,,,,,,,,,
8.191E-5,2.156484487E-12,8.191E-5,2.156484487E-12,8.191E-5,2.156484487E-12,8.191E-5,2.156484487E-12,8.191E-5,2.156484487E-12,8.191E-5,2.156484487E-12,,,,,,,,,,,,
1.6383E-4,2.156484487E-12,1.6383E-4,2.156484487E-12,1.6383E-4,2.156484487E-12,1.6383E-4,2.156484487E-12,1.6383E-4,2.156484487E-12,1.6383E-4,2.156484487E-12,,,,,,,,,,,,
3.2767E-4,2.156484487E-12,3.2767E-4,2.156484487E-12,3.2767E-4,2.156484487E-12,3.2767E-4,2.156484487E-12,3.2767E-4,2.156484487E-12,3.2767E-4,2.156484487E-12,,,,,,,,,,,,
6.5535E-4,2.156484487E-12,6.5535E-4,2.156484487E-12,6.5535E-4,2.156484487E-12,6.5535E-4,2.156484487E-12,6.5535E-4,2.156484487E-12,6.5535E-4,2.156484487E-12,,,,,,,,,,,,
0.00131071,2.156484487E-12,0.00131071,2.156484487E-12,0.00131071,2.156484487E-12,0.00131071,2.156484487E-12,0.00131071,2.156484487E-12,0.00131071,2.156484487E-12,,,,,,,,,,,,
0.00262143,2.156484487E-12,0.00262143,2.156484487E-12,0.00262143,2.156484487E-12,0.00262143,2.156484487E-12,0.00262143,2.156484487E-12,0.00262143,2.156484487E-12,,,,,,,,,,,,
