,1V,,1.25V,,2.5V,,3.75V,,5V,
0,28360.025907,0.00412,26080.762423,0,28360.023356,0,29604.343783,0,28360.021131,
0.04843,34731.19415,0.04859,31931.468679,0.04843,34731.189855,0.04607,35664.429208,0.04843,34731.186274,
0.05,34731.194222,0.05412,31931.46869,0.05,34731.189815,0.05,35664.428972,0.05,34731.186139,
0.09843,34731.196353,0.09859,31931.469935,0.09843,34731.188846,0.09607,35664.426576,0.09843,34731.182458,
0.1,34731.196522,0.10412,31931.469935,0.1,34731.18867,0.1,35664.425719,0.1,34731.181987,
0.14843,34731.199041,0.14859,31931.470469,0.14843,34731.183246,0.14607,35664.416966,0.14843,34731.16988,
0.15,34731.199257,0.15412,31931.470436,0.15,34731.182659,0.15,35664.41452,0.15,34731.168606,
0.19843,34731.203325,0.19859,31931.470169,0.19843,34731.168808,0.19607,35664.393145,0.19843,34731.13945,
0.2,34731.20378,0.20412,31931.469826,0.2,34731.167446,0.2,35664.387567,0.2,34731.136554,
0.24843,34731.205717,0.24859,31931.462355,0.24843,34731.128701,0.24607,35664.332287,0.24843,34731.063423,
0.25,34731.205871,0.25412,31931.459393,0.25,34731.12477,0.25,35664.317536,0.25,34731.056027,
0.29843,34731.140974,0.29859,31931.378894,0.29843,34730.967078,0.29607,35664.125439,0.29843,34730.81978,
0.3,34731.133669,0.30412,31931.354494,0.3,34730.950319,0.3,35664.072163,0.3,34730.795055,
0.34843,34730.423281,0.34859,31930.651081,0.34843,34730.01463,0.34607,35663.08109,0.34843,34729.671453,
0.35,34730.342857,0.35412,31930.454847,0.35,34729.910678,0.35,35662.792765,0.35,34729.547968,
0.39843,34724.217581,0.39859,31924.683713,0.39843,34723.148824,0.39607,35656.082549,0.39843,34722.270614,
0.4,34723.542115,0.40412,31923.138083,0.4,34722.403395,0.4,35654.133393,0.4,34721.468993,
0.44843,34697.522698,0.44859,31898.664244,0.44843,34693.907792,0.44607,35625.988853,0.44843,34691.067917,
0.45,34692.243548,0.45412,32093.366873,0.45,34688.340882,0.45,35611.71415,0.45,34685.280975,
0.49843,30741.629681,0.49859,28462.330395,0.49843,30724.490503,0.49607,31836.022223,0.49843,30711.655262,
0.5,29465.401956,0.50412,28316.910929,0.5,29447.65775,0.5,28634.015675,0.5,29434.355188,
0.54843,25453.377157,0.54859,24633.130232,0.54843,25438.219171,0.54607,24821.863119,0.54843,25427.929993,
0.55,27379.113331,0.55412,25163.909673,0.55,27365.456637,0.55,29655.739346,0.55,27356.456799,
0.59843,48152.547013,0.59859,44249.346002,0.59843,48178.866806,0.59607,49471.08219,0.59843,48203.767773,
0.6,48179.300874,0.60412,44286.795186,0.6,48205.832003,0.6,49538.999999,0.6,48230.965175,
0.64843,48302.768421,0.64859,44400.636254,0.64843,48332.880546,0.64607,49662.992858,0.64843,48364.691787,
0.65,48293.382227,0.65412,44399.779555,0.65,48322.911423,0.65,49637.445974,0.65,48354.364238,
0.69843,48139.601555,0.69859,44256.882681,0.69843,48163.461987,0.69607,49485.146145,0.69843,48194.882643,
0.7,48131.472313,0.70412,44255.423719,0.7,48154.696429,0.7,49462.55207,0.7,48185.718075,
0.74843,47995.147664,0.74859,44128.512231,0.74843,48012.841238,0.74607,49327.628301,0.74843,48045.529882,
0.75,47987.582091,0.75412,44127.445163,0.75,48004.623251,0.75,49306.437265,0.75,48036.951111,
0.79843,47857.909938,0.79859,44006.791274,0.79843,47871.035056,0.79607,49181.462271,0.79843,47909.988873,
0.8,47850.437314,0.80412,44006.360493,0.8,47862.914007,0.8,49160.633181,0.8,47901.625787,
0.84843,47722.218869,0.84859,43887.395043,0.84843,47734.218806,0.84607,49044.520716,0.84843,47789.530929,
0.85,47714.658232,0.85412,43887.932439,0.85,47726.058051,0.85,49023.871723,0.85,47781.391317,
0.89843,47586.328784,0.89859,43769.582608,0.89843,47603.961008,0.89607,48922.204758,0.89843,47695.399081,
0.9,47578.605365,0.90412,43771.606249,0.9,47595.779296,0.9,48902.089059,0.9,47687.773825,
0.94843,47450.30575,0.94859,43654.679611,0.94843,47486.63273,0.94607,48828.737079,0.94843,47653.379507,
0.95,47442.39583,0.95412,43659.070574,0.95,47478.592262,0.95,48810.139296,0.95,47646.943071,
0.99843,55929.690789,0.99859,51443.619504,0.99843,55947.446884,0.99607,56892.062714,0.99843,56194.160384,
1,55924.46774,1.04307,43373.740875,1,55942.724975,1,56883.164676,1,56192.250066,
1.00157,55919.216259,1.04859,43383.826071,1.00157,55938.77665,1.00393,56878.876259,1.00157,56193.55052,
