,1 Hz,,2 Hz,,5 Hz,,10 Hz,,20Hz,,50 Hz,,100 Hz,,200 Hz,,250 Hz,,500 Hz,frequesncy,EPSC Gain,
1E-8,2.248520546E-12,1E-8,2.248520546E-12,1E-8,2.248520546E-12,1E-8,2.248520546E-12,1E-8,2.248520546E-12,1E-8,2.248520546E-12,1E-8,2.248520546E-12,1E-8,2.248520546E-12,1E-8,2.248520546E-12,1E-8,2.248520546E-12,1,1,
3E-8,2.248227486E-12,3E-8,2.248227486E-12,3E-8,2.248227486E-12,3E-8,2.248227486E-12,3E-8,2.248227486E-12,3E-8,2.248227486E-12,3E-8,2.248227486E-12,3E-8,2.248227486E-12,3E-8,2.248227486E-12,3E-8,2.248227486E-12,2,1,
7E-8,2.248482881E-12,7E-8,2.248482881E-12,7E-8,2.248482881E-12,7E-8,2.248482881E-12,7E-8,2.248482881E-12,7E-8,2.248482881E-12,7E-8,2.248482881E-12,7E-8,2.248482881E-12,7E-8,2.248482881E-12,7E-8,2.248482881E-12,5,1,
1.5E-7,2.248592755E-12,1.5E-7,2.248592755E-12,1.5E-7,2.248592755E-12,1.5E-7,2.248592755E-12,1.5E-7,2.248592755E-12,1.5E-7,2.248592755E-12,1.5E-7,2.248592755E-12,1.5E-7,2.248592755E-12,1.5E-7,2.248592755E-12,1.5E-7,2.248592755E-12,10,1,
3.1E-7,2.248649142E-12,3.1E-7,2.248649142E-12,3.1E-7,2.248649142E-12,3.1E-7,2.248649142E-12,3.1E-7,2.248649142E-12,3.1E-7,2.248649142E-12,3.1E-7,2.248649142E-12,3.1E-7,2.248649142E-12,3.1E-7,2.248649142E-12,3.1E-7,2.248649142E-12,20,1.004,
6.3E-7,2.24865619E-12,6.3E-7,2.24865619E-12,6.3E-7,2.24865619E-12,6.3E-7,2.24865619E-12,6.3E-7,2.24865619E-12,6.3E-7,2.24865619E-12,6.3E-7,2.24865619E-12,6.3E-7,2.24865619E-12,6.3E-7,2.24865619E-12,6.3E-7,2.24865619E-12,50,1.19,
1.27E-6,2.248653449E-12,1.27E-6,2.248653449E-12,1.27E-6,2.248653449E-12,1.27E-6,2.248653449E-12,1.27E-6,2.248653449E-12,1.27E-6,2.248653449E-12,1.27E-6,2.248653449E-12,1.27E-6,2.248653449E-12,1.27E-6,2.248653449E-12,1.27E-6,2.248653449E-12,100,2.64,
2.55E-6,2.248653796E-12,2.55E-6,2.248653796E-12,2.55E-6,2.248653796E-12,2.55E-6,2.248653796E-12,2.55E-6,2.248653796E-12,2.55E-6,2.248653796E-12,2.55E-6,2.248653796E-12,2.55E-6,2.248653796E-12,2.55E-6,2.248653796E-12,2.55E-6,2.248653796E-12,200,16.43,
5.11E-6,2.248653343E-12,5.11E-6,2.248653343E-12,5.11E-6,2.248653343E-12,5.11E-6,2.248653343E-12,5.11E-6,2.248653343E-12,5.11E-6,2.248653343E-12,5.11E-6,2.248653343E-12,5.11E-6,2.248653343E-12,5.11E-6,2.248653343E-12,5.11E-6,2.248653343E-12,250,34.93,
1.023E-5,2.248653369E-12,1.023E-5,2.248653369E-12,1.023E-5,2.248653369E-12,1.023E-5,2.248653369E-12,1.023E-5,2.248653369E-12,1.023E-5,2.248653369E-12,1.023E-5,2.248653369E-12,1.023E-5,2.248653369E-12,1.023E-5,2.248653369E-12,1.023E-5,2.248653369E-12,500,304.1,
2.047E-5,2.248653593E-12,2.047E-5,2.248653593E-12,2.047E-5,2.248653593E-12,2.047E-5,2.248653593E-12,2.047E-5,2.248653593E-12,2.047E-5,2.248653593E-12,2.047E-5,2.248653593E-12,2.047E-5,2.248653593E-12,2.047E-5,2.248653593E-12,2.047E-5,2.248653593E-12,,,
4.095E-5,2.248653867E-12,4.095E-5,2.248653867E-12,4.095E-5,2.248653867E-12,4.095E-5,2.248653867E-12,4.095E-5,2.248653867E-12,4.095E-5,2.248653867E-12,4.095E-5,2.248653867E-12,4.095E-5,2.248653867E-12,4.095E-5,2.248653867E-12,4.095E-5,2.248653867E-12,,,
8.191E-5,2.248654087E-12,8.191E-5,2.248654087E-12,8.191E-5,2.248654087E-12,8.191E-5,2.248654087E-12,8.191E-5,2.248654087E-12,8.191E-5,2.248654087E-12,8.191E-5,2.248654087E-12,8.191E-5,2.248654087E-12,8.191E-5,2.248654087E-12,8.191E-5,2.248654087E-12,,,
1.6383E-4,2.24865422E-12,1.6383E-4,2.24865422E-12,1.6383E-4,2.24865422E-12,1.6383E-4,2.24865422E-12,1.6383E-4,2.24865422E-12,1.6383E-4,2.24865422E-12,1.6383E-4,2.24865422E-12,1.6383E-4,2.24865422E-12,1.6383E-4,2.24865422E-12,1.6383E-4,2.24865422E-12,,,
3.2767E-4,2.24865428E-12,3.2767E-4,2.24865428E-12,3.2767E-4,2.24865428E-12,3.2767E-4,2.24865428E-12,3.2767E-4,2.24865428E-12,3.2767E-4,2.24865428E-12,3.2767E-4,2.24865428E-12,3.2767E-4,2.24865428E-12,3.2767E-4,2.24865428E-12,3.2767E-4,2.24865428E-12,,,
6.5535E-4,2.24865429E-12,6.5535E-4,2.24865429E-12,6.5535E-4,2.24865429E-12,6.5535E-4,2.24865429E-12,6.5535E-4,2.24865429E-12,6.5535E-4,2.24865429E-12,6.5535E-4,2.24865429E-12,6.5535E-4,2.24865429E-12,6.5535E-4,2.24865429E-12,6.5535E-4,2.24865429E-12,,,
0.00131071,2.248654269E-12,0.00131071,2.248654269E-12,0.00131071,2.248654269E-12,0.00131071,2.248654269E-12,0.00131071,2.248654269E-12,0.00131071,2.248654269E-12,0.00131071,2.248654269E-12,0.00131071,2.248654269E-12,0.00131071,2.248654269E-12,0.00131071,2.248654269E-12,,,
0.00262143,2.248654219E-12,0.00262143,2.248654219E-12,0.00262143,2.248654219E-12,0.00262143,2.248654219E-12,0.00262143,2.248654219E-12,0.00262143,2.248654219E-12,0.00262143,2.248654219E-12,0.00262143,2.248654219E-12,0.00262143,2.248654219E-12,0.00262143,2.248654219E-12,,,
0.005,2.248654148E-12,0.005,2.248654148E-12,0.005,2.248654148E-12,0.005,2.248654148E-12,0.005,2.248654148E-12,0.005,2.248654148E-12,0.005,2.248654148E-12,0.005,2.248654148E-12,0.005,2.248654148E-12,0.005,2.248654148E-12,,,
0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,0.00500001,-4.17314291E-11,,,
0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,0.00500003,-4.105308443E-11,,,
0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,0.00500007,-4.066943003E-11,,,
