Time_s,IDS_nA
0.000000000000000000e+00,1.213728839579734542e+00
2.999999999999999889e-01,1.910004718908278054e+00
5.999999999999999778e-01,2.423881974474876522e+00
8.999999999999999112e-01,3.220288073629027803e+00
1.199999999999999956e+00,3.766098156208128156e+00
1.500000000000000000e+00,4.453048745256724672e+00
1.799999999999999822e+00,4.832371234232182289e+00
2.100000000000000089e+00,5.434823099472679608e+00
2.399999999999999911e+00,5.909261873476978622e+00
2.699999999999999734e+00,6.415562202903947409e+00
3.000000000000000000e+00,7.038657729679013819e+00
3.299999999999999822e+00,7.376027630247235400e+00
3.599999999999999645e+00,7.968163377749309717e+00
3.899999999999999911e+00,8.436665930485235165e+00
4.200000000000000178e+00,8.797446772147770488e+00
4.500000000000000000e+00,9.008044040920919926e+00
4.799999999999999822e+00,9.621844779311347295e+00
5.099999999999999645e+00,1.004859159232723975e+01
5.399999999999999467e+00,1.039192930938364157e+01
5.700000000000000178e+00,1.028828062298965662e+01
6.000000000000000000e+00,1.063625223278412335e+01
6.299999999999999822e+00,1.124281040166551904e+01
6.599999999999999645e+00,1.170450525804342234e+01
6.899999999999999467e+00,1.177948260256351709e+01
7.199999999999999289e+00,1.218561889489340722e+01
7.500000000000000000e+00,1.237425303789584774e+01
7.799999999999999822e+00,1.252288421840316524e+01
8.099999999999999645e+00,1.258720253463115846e+01
8.400000000000000355e+00,1.331815586295294551e+01
8.699999999999999289e+00,1.313739610126748580e+01
9.000000000000000000e+00,1.324749139855534175e+01
9.299999999999998934e+00,1.380120773075713814e+01
9.599999999999999645e+00,1.402293982246845516e+01
9.900000000000000355e+00,1.399558982566647636e+01
1.019999999999999929e+01,1.419330932814289348e+01
1.050000000000000000e+01,1.468944098253375330e+01
1.079999999999999893e+01,1.460242377508799727e+01
1.109999999999999964e+01,1.473765494076627292e+01
1.140000000000000036e+01,1.553619426749270005e+01
1.169999999999999929e+01,1.483440806021503100e+01
1.200000000000000000e+01,1.523940809589075940e+01
1.229999999999999893e+01,1.557611175881648258e+01
1.259999999999999964e+01,1.582774017502383757e+01
1.290000000000000036e+01,1.551825991339729072e+01
1.319999999999999929e+01,1.654945520887684296e+01
1.350000000000000000e+01,1.609419966751147513e+01
1.379999999999999893e+01,1.617844997317255107e+01
1.409999999999999964e+01,1.674237214220608294e+01
1.439999999999999858e+01,1.658321332027508177e+01
1.469999999999999929e+01,1.640394920456970951e+01
1.500000000000000000e+01,1.669389149380056736e+01
1.529999999999999893e+01,1.678767576752965951e+01
1.559999999999999964e+01,1.713005023605083466e+01
1.589999999999999858e+01,1.717785013695965191e+01
1.619999999999999929e+01,1.685490362929267860e+01
1.650000000000000000e+01,1.736817536743002321e+01
1.680000000000000071e+01,1.734841205007538534e+01
1.709999999999999787e+01,1.740735697846627161e+01
1.739999999999999858e+01,1.738003278280998032e+01
1.769999999999999929e+01,1.728667130843541244e+01
1.800000000000000000e+01,1.752795200288235478e+01
1.830000000000000071e+01,1.856572249143916054e+01
1.859999999999999787e+01,1.853876045520276961e+01
1.889999999999999858e+01,1.740786304996879963e+01
1.919999999999999929e+01,1.711079543195066321e+01
1.950000000000000000e+01,1.610367535694694752e+01
1.980000000000000071e+01,1.520351558761257316e+01
2.009999999999999787e+01,1.503561398587921616e+01
2.039999999999999858e+01,1.463220466698942168e+01
2.069999999999999929e+01,1.383728986951871143e+01
2.100000000000000000e+01,1.378468817393160961e+01
2.130000000000000071e+01,1.303432606891281509e+01
2.159999999999999787e+01,1.233909451623197917e+01
2.189999999999999858e+01,1.207108481304331882e+01
2.219999999999999929e+01,1.171831031339206142e+01
2.250000000000000000e+01,1.143385812980040583e+01
